ID;Text;Username;Name;Language;Created at
1391573782389788673;"Pelin Akil unutamadığı o anları anlattı: ""Ne badireler atlattık"" sözünü iliklerime kadar yaşadım!
https://t.co/2w7M0329gb";gunaydin;Günaydın Gazetesi;tr;2021-05-10 02:00:18
1391473702609379328;RT @Zubizeretta8: Pelin akil https://t.co/UGwgddpUIR;Dursun61612;Dursun6161;in;2021-05-09 19:22:37
1391453148817068034;"Pelin Akil'in storylerini izlemeden once birilerinin bana bagirarak ""seni cok severim"" demesine ihtiyacim oldugunu bilmiyordum";majesticfrasers;ily;tr;2021-05-09 18:00:57
1391450641294368774;@CpcDefnem izledimmmmmmmmmmmmmmmmm pelin akil falan oynuyodu;elfreyn;elfreyn;tr;2021-05-09 17:50:59
1391429033984921612;Pelin Akil İkizleri Alin ile Lina'nın Duygusal Anneler Günü https://t.co/TMl3CX2DBH;FlyPaparazzi;FlyPaparazzi;tr;2021-05-09 16:25:07
1391413850352889858;Pelin Akil - Anıl Altan çiftine bayılıyorum. Üstüne bir de ikizleri eklendi. İkizlerine de bayılıyorum 😍;BusiAydin;Buse Aydın;tr;2021-05-09 15:24:47
1391409369510776832;@sessizciglik694 @bskery_ Pelin Akil'in story bakin.. ayni çiçek paketi;Papatya52603213;Papatya;tr;2021-05-09 15:06:59
1391388767785783299;RT @bosverece: pelin akil furkan andıç partnerliği✨🤍 https://t.co/8hYW1EuOjj;SinSavas;SavasSinDem;tr;2021-05-09 13:45:07
1391369454169346049;Pelin akil https://t.co/UGwgddpUIR;Zubizeretta8;ünlülersss;in;2021-05-09 12:28:22
1391345692283744257;"RT @gunaydin: Pelin Akil unutamadığı o anları anlattı: ""Ne badireler atlattık"" sözünü iliklerime kadar yaşadım!
https://t.co/D3gvSN4dtP htt…";gozde_aygar;Gözde🎈🎈🎈;tr;2021-05-09 10:53:57
1391512266231750656;anil altan bas bana;LOU1S0NMARS;elf 25 || kbra's gf (real!);es;2021-05-09 21:55:51
1391413850352889858;Pelin Akil - Anıl Altan çiftine bayılıyorum. Üstüne bir de ikizleri eklendi. İkizlerine de bayılıyorum 😍;BusiAydin;Buse Aydın;tr;2021-05-09 15:24:47
1391123569871097856;Anıl Altan gbj bir eşe ihtiyacım var adam iki senedir ömrünü tüketti ikizleri için 🙏🙏🙏;freedoommmmmm;Zehra🌻;tr;2021-05-08 20:11:19
1390331337194749956;@zeyn71 Hayaller Anıl Altan gerceklr necmettin  yesilbas odfmmfkerlc;siyahbibuluttt;𝑹;tr;2021-05-06 15:43:16
1390326329573269509;@siyahbibuluttt hshshshshhshshsh anıl altan dedik ne geldi kesin 65+üstü hshshshhshs;zeyn71;zeyn;fi;2021-05-06 15:23:22
1390323548317683714;"cok mu bisey istiyorum 
pelin-anıl altan hayatı istiyorum 
cok mu istiyorum";zeyn71;zeyn;tr;2021-05-06 15:12:19
